raw_name,canonical_name,entity_type,confidence,resolution_method,timestamp
Cyankiwi,Cyankiwi,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.418557+00:00
Xenova,Xenova,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.418804+00:00
Huggingfacetb,Hugging Face,STARTUP,0.88,FUZZY_RATIO_MATCH,2026-08-27T15:08:45.419057+00:00
Neoquasar,Neoquasar,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.419298+00:00
Hauhaucs,Hauhaucs,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.419544+00:00
Daekeun Ml,Daekeun Ml,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.419776+00:00
Zai Org,Zai Org,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.420017+00:00
Dbmdz,Dbmdz,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.420257+00:00
Mahmoudashraf,Mahmoudashraf,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.420515+00:00
W11Wo,W11Wo,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.420743+00:00
Llava Hf,Llava Hf,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.421149+00:00
Michaelfeil,Michaelfeil,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.421520+00:00
Mlx Community,Mlx Community,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.421923+00:00
Tostai,Tostai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.422303+00:00
Patrickjohncyh,Patrickjohncyh,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.422688+00:00
Emilyalsentzer,Emilyalsentzer,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.423086+00:00
Dslim,Dslim,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.423535+00:00
Docling Project,Docling Project,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.423994+00:00
Tinyllama,Tinyllama,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.424395+00:00
Hmellor,Hmellor,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.424848+00:00
Salesforce,Salesforce,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.425307+00:00
Prism Ml,Prism Ml,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.425710+00:00
Lmstudio Community,Lmstudio Community,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.426190+00:00
Sentence Transformers Testing,Sentence Transformers Testing,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.426642+00:00
Antirez,Antirez,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.427042+00:00
Handy Computer,Handy Computer,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.427474+00:00
Gigant,Gigant,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.427874+00:00
Speechbrain,Speechbrain,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.428265+00:00
Systran,Systran,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.428653+00:00
Vikhyatk,Vikhyatk,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.429041+00:00
Biohub,Biohub,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.429535+00:00
Stanfordaimi,Stanfordaimi,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.429939+00:00
Resembleai,Resembleai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.430266+00:00
Comodoro,Comodoro,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.430615+00:00
Rhasspy,Rhasspy,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.430857+00:00
Anuragshas,Anuragshas,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.431085+00:00
Iitolstykh,Iitolstykh,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.431313+00:00
Alibaba Nlp,Alibaba Nlp,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.431540+00:00
Peft Internal Testing,Peft Internal Testing,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.431785+00:00
Kblab,Kblab,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.432012+00:00
Khalsuu,Khalsuu,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.432239+00:00
